index,section size,weight,A,d,bf,tw,tf,bf to tf ratio,h to tw ratio,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,rts
1125,2L7X4X5/8X3/4LLBB,44.2,13,7,0,0,0,0,0,64.8,25,14.2,2.23,38.9,17.3,8.89,1.73,0,0,0
1126,2L7X4X1/2LLBB,35.8,10.5,7,0,0,0,0,0,53.2,20.4,11.6,2.25,21.8,9.57,5.45,1.44,0,0,0
1127,2L7X4X1/2X3/8LLBB,35.8,10.5,7,0,0,0,0,0,53.2,20.4,11.6,2.25,25.6,11.5,6.11,1.56,0,0,0
1128,2L7X4X1/2X3/4LLBB,35.8,10.5,7,0,0,0,0,0,53.2,20.4,11.6,2.25,30.3,13.5,6.93,1.7,0,0,0
1129,2L7X4X7/16LLBB,31.4,9.26,7,0,0,0,0,0,47.2,18.1,10.2,2.26,18.9,8.2,4.72,1.43,0,0,0
1130,2L7X4X7/16X3/8LLBB,31.4,9.26,7,0,0,0,0,0,47.2,18.1,10.2,2.26,22.2,9.94,5.3,1.55,0,0,0
1131,2L7X4X7/16X3/4LLBB,31.4,9.26,7,0,0,0,0,0,47.2,18.1,10.2,2.26,26.1,11.7,5.97,1.68,0,0,0
1132,2L7X4X3/8LLBB,27.2,8,7,0,0,0,0,0,41,15.6,8.84,2.27,16.1,6.89,4.03,1.42,0,0,0
1133,2L7X4X3/8X3/8LLBB,27.2,8,7,0,0,0,0,0,41,15.6,8.84,2.27,19,8.39,4.54,1.54,0,0,0
1134,2L7X4X3/8X3/4LLBB,27.2,8,7,0,0,0,0,0,41,15.6,8.84,2.27,22.3,9.89,5.1,1.67,0,0,0
1135,2L6X4X7/8LLBB,54.4,16,6,0,0,0,0,0,55.4,25.4,14.3,1.86,39.4,17.9,9.85,1.57,0,0,0
1136,2L6X4X7/8X3/8LLBB,54.4,16,6,0,0,0,0,0,55.4,25.4,14.3,1.86,46.8,20.9,11.2,1.71,0,0,0
1137,2L6X4X7/8X3/4LLBB,54.4,16,6,0,0,0,0,0,55.4,25.4,14.3,1.86,55.4,23.9,12.7,1.86,0,0,0
1138,2L6X4X3/4LLBB,47.2,13.9,6,0,0,0,0,0,49,22.2,12.5,1.88,33.4,14.9,8.35,1.55,0,0,0
1139,2L6X4X3/4X3/8LLBB,47.2,13.9,6,0,0,0,0,0,49,22.2,12.5,1.88,39.2,17.5,9.36,1.68,0,0,0
1140,2L6X4X3/4X3/4LLBB,47.2,13.9,6,0,0,0,0,0,49,22.2,12.5,1.88,46.5,20.1,10.6,1.83,0,0,0
1141,2L6X4X5/8LLBB,40,11.7,6,0,0,0,0,0,42,18.9,10.6,1.89,27.4,12.1,6.85,1.53,0,0,0
1142,2L6X4X5/8X3/8LLBB,40,11.7,6,0,0,0,0,0,42,18.9,10.6,1.89,32.2,14.3,7.69,1.66,0,0,0
1143,2L6X4X5/8X3/4LLBB,40,11.7,6,0,0,0,0,0,42,18.9,10.6,1.89,37.9,16.5,8.66,1.8,0,0,0
1144,2L6X4X9/16LLBB,36.2,10.6,6,0,0,0,0,0,38.4,17.2,9.62,1.9,24.5,10.6,6.12,1.52,0,0,0
1145,2L6X4X9/16X3/8LLBB,36.2,10.6,6,0,0,0,0,0,38.4,17.2,9.62,1.9,28.9,12.6,6.9,1.65,0,0,0
1146,2L6X4X9/16X3/4LLBB,36.2,10.6,6,0,0,0,0,0,38.4,17.2,9.62,1.9,34,14.6,7.77,1.79,0,0,0
1147,2L6X4X1/2LLBB,32.4,9.5,6,0,0,0,0,0,34.6,15.4,8.62,1.91,21.7,9.32,5.42,1.51,0,0,0
1148,2L6X4X1/2X3/8LLBB,32.4,9.5,6,0,0,0,0,0,34.6,15.4,8.62,1.91,25.6,11.1,6.11,1.64,0,0,0
1149,2L6X4X1/2X3/4LLBB,32.4,9.5,6,0,0,0,0,0,34.6,15.4,8.62,1.91,29.8,12.9,6.81,1.77,0,0,0
1150,2L6X4X7/16LLBB,28.6,8.36,6,0,0,0,0,0,30.8,13.6,7.62,1.92,18.8,8,4.7,1.5,0,0,0
1151,2L6X4X7/16X3/8LLBB,28.6,8.36,6,0,0,0,0,0,30.8,13.6,7.62,1.92,21.9,9.57,5.23,1.62,0,0,0
1152,2L6X4X7/16X3/4LLBB,28.6,8.36,6,0,0,0,0,0,30.8,13.6,7.62,1.92,25.9,11.1,5.92,1.76,0,0,0
1153,2L6X4X3/8LLBB,24.6,7.22,6,0,0,0,0,0,26.8,11.8,6.6,1.93,16,6.74,4,1.49,0,0,0
1154,2L6X4X3/8X3/8LLBB,24.6,7.22,6,0,0,0,0,0,26.8,11.8,6.6,1.93,18.7,8.09,4.47,1.61,0,0,0
1155,2L6X4X3/8X3/4LLBB,24.6,7.22,6,0,0,0,0,0,26.8,11.8,6.6,1.93,22.1,9.44,5.05,1.75,0,0,0
1156,2L6X4X5/16LLBB,20.6,6.06,6,0,0,0,0,0,22.8,9.92,5.54,1.94,13.3,5.5,3.32,1.48,0,0,0
1157,2L6X4X5/16X3/8LLBB,20.6,6.06,6,0,0,0,0,0,22.8,9.92,5.54,1.94,15.5,6.64,3.7,1.6,0,0,0
1158,2L6X4X5/16X3/4LLBB,20.6,6.06,6,0,0,0,0,0,22.8,9.92,5.54,1.94,18.3,7.77,4.18,1.74,0,0,0
1159,2L6X3-1/2X1/2LLBB,30.6,9,6,0,0,0,0,0,33.2,15,8.46,1.92,14.5,7.46,4.14,1.27,0,0,0
1160,2L6X3-1/2X1/2X3/8LLBB,30.6,9,6,0,0,0,0,0,33.2,15,8.46,1.92,17.6,9.15,4.77,1.4,0,0,0
1161,2L6X3-1/2X1/2X3/4LLBB,30.6,9,6,0,0,0,0,0,33.2,15,8.46,1.92,21.3,10.8,5.5,1.54,0,0,0
1162,2L6X3-1/2X3/8LLBB,23.4,6.88,6,0,0,0,0,0,25.8,11.5,6.46,1.93,10.9,5.37,3.11,1.26,0,0,0
1163,2L6X3-1/2X3/8X3/8LLBB,23.4,6.88,6,0,0,0,0,0,25.8,11.5,6.46,1.93,13.1,6.66,3.55,1.38,0,0,0
1164,2L6X3-1/2X3/8X3/4LLBB,23.4,6.88,6,0,0,0,0,0,25.8,11.5,6.46,1.93,15.9,7.95,4.1,1.52,0,0,0
1165,2L6X3-1/2X5/16LLBB,19.6,5.78,6,0,0,0,0,0,21.8,9.68,5.44,1.94,9.03,4.37,2.58,1.25,0,0,0
1166,2L6X3-1/2X5/16X3/8LLBB,19.6,5.78,6,0,0,0,0,0,21.8,9.68,5.44,1.94,10.8,5.45,2.93,1.37,0,0,0
1167,2L6X3-1/2X5/16X3/4LLBB,19.6,5.78,6,0,0,0,0,0,21.8,9.68,5.44,1.94,13,6.54,3.35,1.5,0,0,0
1168,2L5X3-1/2X3/4LLBB,39.6,11.7,5,0,0,0,0,0,27.8,15.2,8.52,1.55,22.6,11.6,6.46,1.39,0,0,0
1169,2L5X3-1/2X3/4X3/8LLBB,39.6,11.7,5,0,0,0,0,0,27.8,15.2,8.52,1.55,27.4,13.8,7.43,1.53,0,0,0
1170,2L5X3-1/2X3/4X3/4LLBB,39.6,11.7,5,0,0,0,0,0,27.8,15.2,8.52,1.55,33,16,8.52,1.68,0,0,0
1171,2L5X3-1/2X5/8LLBB,33.6,9.86,5,0,0,0,0,0,24,13,7.26,1.56,18.5,9.34,5.29,1.37,0,0,0
1172,2L5X3-1/2X5/8X3/8LLBB,33.6,9.86,5,0,0,0,0,0,24,13,7.26,1.56,22.2,11.2,6.02,1.5,0,0,0
1173,2L5X3-1/2X5/8X3/4LLBB,33.6,9.86,5,0,0,0,0,0,24,13,7.26,1.56,26.8,13,6.92,1.65,0,0,0
1174,2L5X3-1/2X1/2LLBB,27.2,8,5,0,0,0,0,0,20,10.7,5.94,1.58,14.6,7.21,4.17,1.35,0,0,0
1175,2L5X3-1/2X1/2X3/8LLBB,27.2,8,5,0,0,0,0,0,20,10.7,5.94,1.58,17.5,8.71,4.75,1.48,0,0,0
1176,2L5X3-1/2X1/2X3/4LLBB,27.2,8,5,0,0,0,0,0,20,10.7,5.94,1.58,21,10.2,5.42,1.62,0,0,0
1177,2L5X3-1/2X3/8LLBB,20.8,6.1,5,0,0,0,0,0,15.5,8.18,4.56,1.59,10.8,5.21,3.09,1.33,0,0,0
1178,2L5X3-1/2X3/8X3/8LLBB,20.8,6.1,5,0,0,0,0,0,15.5,8.18,4.56,1.59,13,6.35,3.53,1.46,0,0,0
1179,2L5X3-1/2X3/8X3/4LLBB,20.8,6.1,5,0,0,0,0,0,15.5,8.18,4.56,1.59,15.4,7.5,3.97,1.59,0,0,0
1180,2L5X3-1/2X5/16LLBB,17.4,5.12,5,0,0,0,0,0,13.2,6.9,3.84,1.6,8.92,4.24,2.55,1.32,0,0,0
1181,2L5X3-1/2X5/16X3/8LLBB,17.4,5.12,5,0,0,0,0,0,13.2,6.9,3.84,1.6,10.6,5.2,2.87,1.44,0,0,0
1182,2L5X3-1/2X5/16X3/4LLBB,17.4,5.12,5,0,0,0,0,0,13.2,6.9,3.84,1.6,12.8,6.16,3.3,1.58,0,0,0
1183,2L5X3-1/2X1/4LLBB,14,4.14,5,0,0,0,0,0,10.7,5.56,3.1,1.61,7.1,3.33,2.03,1.31,0,0,0
1184,2L5X3-1/2X1/4X3/8LLBB,14,4.14,5,0,0,0,0,0,10.7,5.56,3.1,1.61,8.47,4.1,2.3,1.43,0,0,0
1185,2L5X3-1/2X1/4X3/4LLBB,14,4.14,5,0,0,0,0,0,10.7,5.56,3.1,1.61,10.2,4.88,2.63,1.57,0,0,0
1186,2L5X3X1/2LLBB,25.6,7.5,5,0,0,0,0,0,18.9,10.2,5.78,1.58,9.24,5.6,3.08,1.11,0,0,0
1187,2L5X3X1/2X3/8LLBB,25.6,7.5,5,0,0,0,0,0,18.9,10.2,5.78,1.58,11.5,7,3.61,1.24,0,0,0
1188,2L5X3X1/2X3/4LLBB,25.6,7.5,5,0,0,0,0,0,18.9,10.2,5.78,1.58,14.5,8.41,4.3,1.39,0,0,0
1189,2L5X3X7/16LLBB,22.6,6.62,5,0,0,0,0,0,16.8,9.06,5.12,1.59,8.01,4.78,2.67,1.1,0,0,0
1190,2L5X3X7/16X3/8LLBB,22.6,6.62,5,0,0,0,0,0,16.8,9.06,5.12,1.59,10,6.02,3.14,1.23,0,0,0
1191,2L5X3X7/16X3/4LLBB,22.6,6.62,5,0,0,0,0,0,16.8,9.06,5.12,1.59,12.6,7.26,3.73,1.38,0,0,0
1192,2L5X3X3/8LLBB,19.6,5.72,5,0,0,0,0,0,14.7,7.86,4.44,1.6,6.8,3.99,2.27,1.09,0,0,0
1193,2L5X3X3/8X3/8LLBB,19.6,5.72,5,0,0,0,0,0,14.7,7.86,4.44,1.6,8.51,5.07,2.67,1.22,0,0,0
1194,2L5X3X3/8X3/4LLBB,19.6,5.72,5,0,0,0,0,0,14.7,7.86,4.44,1.6,10.6,6.14,3.14,1.36,0,0,0
1195,2L5X3X5/16LLBB,16.4,4.82,5,0,0,0,0,0,12.5,6.64,3.74,1.61,5.62,3.24,1.87,1.08,0,0,0
1196,2L5X3X5/16X3/8LLBB,16.4,4.82,5,0,0,0,0,0,12.5,6.64,3.74,1.61,7.06,4.15,2.21,1.21,0,0,0
1197,2L5X3X5/16X3/4LLBB,16.4,4.82,5,0,0,0,0,0,12.5,6.64,3.74,1.61,8.78,5.05,2.6,1.35,0,0,0
1198,2L5X3X1/4LLBB,13.2,3.88,5,0,0,0,0,0,10.2,5.36,3.02,1.62,4.44,2.51,1.48,1.07,0,0,0
1199,2L5X3X1/4X3/8LLBB,13.2,3.88,5,0,0,0,0,0,10.2,5.36,3.02,1.62,5.49,3.24,1.72,1.19,0,0,0
1200,2L5X3X1/4X3/4LLBB,13.2,3.88,5,0,0,0,0,0,10.2,5.36,3.02,1.62,6.86,3.97,2.03,1.33,0,0,0
1201,2L4X3-1/2X1/2LLBB,23.8,7,4,0,0,0,0,0,10.6,6.92,3.84,1.23,14.5,6.96,4.14,1.44,0,0,0
1202,2L4X3-1/2X1/2X3/8LLBB,23.8,7,4,0,0,0,0,0,10.6,6.92,3.84,1.23,17.3,8.27,4.69,1.57,0,0,0
1203,2L4X3-1/2X1/2X3/4LLBB,23.8,7,4,0,0,0,0,0,10.6,6.92,3.84,1.23,20.7,9.58,5.34,1.72,0,0,0
1204,2L4X3-1/2X3/8LLBB,18.2,5.36,4,0,0,0,0,0,8.3,5.32,2.96,1.25,10.8,5.08,3.09,1.42,0,0,0
1205,2L4X3-1/2X3/8X3/8LLBB,18.2,5.36,4,0,0,0,0,0,8.3,5.32,2.96,1.25,12.9,6.08,3.5,1.55,0,0,0
1206,2L4X3-1/2X3/8X3/4LLBB,18.2,5.36,4,0,0,0,0,0,8.3,5.32,2.96,1.25,15.3,7.09,3.95,1.69,0,0,0
1207,2L4X3-1/2X5/16LLBB,15.4,4.5,4,0,0,0,0,0,7.06,4.48,2.5,1.25,8.82,4.15,2.52,1.4,0,0,0
1208,2L4X3-1/2X5/16X3/8LLBB,15.4,4.5,4,0,0,0,0,0,7.06,4.48,2.5,1.25,10.5,5,2.85,1.53,0,0,0
1209,2L4X3-1/2X5/16X3/4LLBB,15.4,4.5,4,0,0,0,0,0,7.06,4.48,2.5,1.25,12.7,5.84,3.28,1.68,0,0,0
1210,2L4X3-1/2X1/4LLBB,12.4,3.64,4,0,0,0,0,0,5.78,3.62,2.02,1.26,7.03,3.27,2.01,1.39,0,0,0
1211,2L4X3-1/2X1/4X3/8LLBB,12.4,3.64,4,0,0,0,0,0,5.78,3.62,2.02,1.26,8.41,3.95,2.28,1.52,0,0,0
1212,2L4X3-1/2X1/4X3/4LLBB,12.4,3.64,4,0,0,0,0,0,5.78,3.62,2.02,1.26,10,4.63,2.58,1.66,0,0,0
1213,2L4X3X5/8LLBB,27.2,7.98,4,0,0,0,0,0,12,8.16,4.56,1.23,11.7,6.92,3.9,1.21,0,0,0
1214,2L4X3X5/8X3/8LLBB,27.2,7.98,4,0,0,0,0,0,12,8.16,4.56,1.23,14.5,8.41,4.55,1.35,0,0,0
1215,2L4X3X5/8X3/4LLBB,27.2,7.98,4,0,0,0,0,0,12,8.16,4.56,1.23,18,9.91,5.33,1.5,0,0,0
1216,2L4X3X1/2LLBB,22.2,6.5,4,0,0,0,0,0,10,6.72,3.74,1.24,9.2,5.34,3.07,1.19,0,0,0
1217,2L4X3X1/2X3/8LLBB,22.2,6.5,4,0,0,0,0,0,10,6.72,3.74,1.24,11.3,6.56,3.55,1.32,0,0,0
1218,2L4X3X1/2X3/4LLBB,22.2,6.5,4,0,0,0,0,0,10,6.72,3.74,1.24,14,7.78,4.15,1.47,0,0,0
1219,2L4X3X3/8LLBB,17,4.98,4,0,0,0,0,0,7.88,5.2,2.88,1.26,6.82,3.86,2.27,1.17,0,0,0
1220,2L4X3X3/8X3/8LLBB,17,4.98,4,0,0,0,0,0,7.88,5.2,2.88,1.26,8.42,4.79,2.64,1.3,0,0,0
1221,2L4X3X3/8X3/4LLBB,17,4.98,4,0,0,0,0,0,7.88,5.2,2.88,1.26,10.3,5.73,3.05,1.44,0,0,0
1222,2L4X3X5/16LLBB,14.4,4.18,4,0,0,0,0,0,6.72,4.38,2.44,1.27,5.62,3.14,1.87,1.16,0,0,0
1223,2L4X3X5/16X3/8LLBB,14.4,4.18,4,0,0,0,0,0,6.72,4.38,2.44,1.27,6.96,3.92,2.18,1.29,0,0,0
1224,2L4X3X5/16X3/4LLBB,14.4,4.18,4,0,0,0,0,0,6.72,4.38,2.44,1.27,8.55,4.7,2.53,1.43,0,0,0
1225,2L4X3X1/4LLBB,11.6,3.38,4,0,0,0,0,0,5.5,3.54,1.98,1.27,4.47,2.45,1.49,1.15,0,0,0
1226,2L4X3X1/4X3/8LLBB,11.6,3.38,4,0,0,0,0,0,5.5,3.54,1.98,1.27,5.45,3.08,1.71,1.27,0,0,0
1227,2L4X3X1/4X3/4LLBB,11.6,3.38,4,0,0,0,0,0,5.5,3.54,1.98,1.27,6.72,3.72,1.99,1.41,0,0,0
1228,2L3-1/2X3X1/2LLBB,20.4,6.04,3.5,0,0,0,0,0,6.9,5.22,2.9,1.07,9.14,5.25,3.05,1.23,0,0,0
1229,2L3-1/2X3X1/2X3/8LLBB,20.4,6.04,3.5,0,0,0,0,0,6.9,5.22,2.9,1.07,11.3,6.38,3.55,1.37,0,0,0
1230,2L3-1/2X3X1/2X3/4LLBB,20.4,6.04,3.5,0,0,0,0,0,6.9,5.22,2.9,1.07,14,7.51,4.15,1.52,0,0,0
1231,2L3-1/2X3X7/16LLBB,18.2,5.34,3.5,0,0,0,0,0,6.2,4.64,2.58,1.08,7.95,4.52,2.65,1.22,0,0,0
1232,2L3-1/2X3X7/16X3/8LLBB,18.2,5.34,3.5,0,0,0,0,0,6.2,4.64,2.58,1.08,9.88,5.52,3.1,1.36,0,0,0
1233,2L3-1/2X3X7/16X3/4LLBB,18.2,5.34,3.5,0,0,0,0,0,6.2,4.64,2.58,1.08,12.2,6.52,3.61,1.51,0,0,0
1234,2L3-1/2X3X3/8LLBB,15.8,4.64,3.5,0,0,0,0,0,5.46,4.06,2.24,1.09,6.79,3.82,2.26,1.21,0,0,0
1235,2L3-1/2X3X3/8X3/8LLBB,15.8,4.64,3.5,0,0,0,0,0,5.46,4.06,2.24,1.09,8.46,4.69,2.65,1.35,0,0,0
1236,2L3-1/2X3X3/8X3/4LLBB,15.8,4.64,3.5,0,0,0,0,0,5.46,4.06,2.24,1.09,10.3,5.56,3.05,1.49,0,0,0
1237,2L3-1/2X3X5/16LLBB,13.2,3.9,3.5,0,0,0,0,0,4.66,3.44,1.9,1.09,5.62,3.11,1.87,1.2,0,0,0
1238,2L3-1/2X3X5/16X3/8LLBB,13.2,3.9,3.5,0,0,0,0,0,4.66,3.44,1.9,1.09,6.9,3.84,2.16,1.33,0,0,0
1239,2L3-1/2X3X5/16X3/4LLBB,13.2,3.9,3.5,0,0,0,0,0,4.66,3.44,1.9,1.09,8.54,4.57,2.53,1.48,0,0,0
1240,2L3-1/2X3X1/4LLBB,10.8,3.16,3.5,0,0,0,0,0,3.84,2.78,1.55,1.1,4.47,2.44,1.49,1.19,0,0,0
1241,2L3-1/2X3X1/4X3/8LLBB,10.8,3.16,3.5,0,0,0,0,0,3.84,2.78,1.55,1.1,5.51,3.04,1.73,1.32,0,0,0
1242,2L3-1/2X3X1/4X3/4LLBB,10.8,3.16,3.5,0,0,0,0,0,3.84,2.78,1.55,1.1,6.74,3.63,2,1.46,0,0,0
1243,2L3-1/2X2-1/2X1/2LLBB,18.8,5.54,3.5,0,0,0,0,0,6.48,5.04,2.82,1.08,5.45,3.88,2.18,0.992,0,0,0
1244,2L3-1/2X2-1/2X1/2X3/8LLBB,18.8,5.54,3.5,0,0,0,0,0,6.48,5.04,2.82,1.08,7.07,4.92,2.63,1.13,0,0,0
1245,2L3-1/2X2-1/2X1/2X3/4LLBB,18.8,5.54,3.5,0,0,0,0,0,6.48,5.04,2.82,1.08,9.08,5.96,3.16,1.28,0,0,0
1246,2L3-1/2X2-1/2X3/8LLBB,14.4,4.24,3.5,0,0,0,0,0,5.12,3.92,2.18,1.1,3.99,2.78,1.6,0.97,0,0,0
1247,2L3-1/2X2-1/2X3/8X3/8LLBB,14.4,4.24,3.5,0,0,0,0,0,5.12,3.92,2.18,1.1,5.22,3.57,1.94,1.11,0,0,0
1248,2L3-1/2X2-1/2X3/8X3/4LLBB,14.4,4.24,3.5,0,0,0,0,0,5.12,3.92,2.18,1.1,6.63,4.37,2.31,1.25,0,0,0
1249,2L3-1/2X2-1/2X5/16LLBB,12.2,3.58,3.5,0,0,0,0,0,4.4,3.34,1.85,1.11,3.3,2.26,1.32,0.96,0,0,0
1250,2L3-1/2X2-1/2X5/16X3/8LLBB,12.2,3.58,3.5,0,0,0,0,0,4.4,3.34,1.85,1.11,4.25,2.93,1.58,1.09,0,0,0
1251,2L3-1/2X2-1/2X5/16X3/4LLBB,12.2,3.58,3.5,0,0,0,0,0,4.4,3.34,1.85,1.11,5.5,3.61,1.91,1.24,0,0,0
1252,2L3-1/2X2-1/2X1/4LLBB,9.8,2.9,3.5,0,0,0,0,0,3.62,2.72,1.51,1.12,2.62,1.76,1.05,0.95,0,0,0
1253,2L3-1/2X2-1/2X1/4X3/8LLBB,9.8,2.9,3.5,0,0,0,0,0,3.62,2.72,1.51,1.12,3.38,2.3,1.26,1.08,0,0,0
1254,2L3-1/2X2-1/2X1/4X3/4LLBB,9.8,2.9,3.5,0,0,0,0,0,3.62,2.72,1.51,1.12,4.32,2.85,1.5,1.22,0,0,0
1255,2L3X2-1/2X1/2LLBB,17,5,3,0,0,0,0,0,4.14,3.72,2.06,0.91,5.41,3.73,2.16,1.04,0,0,0
1256,2L3X2-1/2X1/2X3/8LLBB,17,5,3,0,0,0,0,0,4.14,3.72,2.06,0.91,6.96,4.67,2.59,1.18,0,0,0
1257,2L3X2-1/2X1/2X3/4LLBB,17,5,3,0,0,0,0,0,4.14,3.72,2.06,0.91,8.84,5.6,3.07,1.33,0,0,0
1258,2L3X2-1/2X7/16LLBB,15.2,4.44,3,0,0,0,0,0,3.74,3.32,1.84,0.917,4.62,3.21,1.85,1.02,0,0,0
1259,2L3X2-1/2X7/16X3/8LLBB,15.2,4.44,3,0,0,0,0,0,3.74,3.32,1.84,0.917,5.97,4.05,2.22,1.16,0,0,0
1260,2L3X2-1/2X7/16X3/4LLBB,15.2,4.44,3,0,0,0,0,0,3.74,3.32,1.84,0.917,7.74,4.88,2.69,1.32,0,0,0
1261,2L3X2-1/2X3/8LLBB,13.2,3.86,3,0,0,0,0,0,3.3,2.9,1.61,0.924,3.94,2.71,1.58,1.01,0,0,0
1262,2L3X2-1/2X3/8X3/8LLBB,13.2,3.86,3,0,0,0,0,0,3.3,2.9,1.61,0.924,5.1,3.43,1.9,1.15,0,0,0
1263,2L3X2-1/2X3/8X3/4LLBB,13.2,3.86,3,0,0,0,0,0,3.3,2.9,1.61,0.924,6.52,4.15,2.27,1.3,0,0,0
1264,2L3X2-1/2X5/16LLBB,11.2,3.26,3,0,0,0,0,0,2.82,2.46,1.36,0.932,3.26,2.21,1.3,1,0,0,0
1265,2L3X2-1/2X5/16X3/8LLBB,11.2,3.26,3,0,0,0,0,0,2.82,2.46,1.36,0.932,4.24,2.82,1.58,1.14,0,0,0
1266,2L3X2-1/2X5/16X3/4LLBB,11.2,3.26,3,0,0,0,0,0,2.82,2.46,1.36,0.932,5.42,3.43,1.89,1.29,0,0,0
1267,2L3X2-1/2X1/4LLBB,9,2.64,3,0,0,0,0,0,2.32,2,1.11,0.94,2.59,1.72,1.04,0.991,0,0,0
1268,2L3X2-1/2X1/4X3/8LLBB,9,2.64,3,0,0,0,0,0,2.32,2,1.11,0.94,3.31,2.22,1.23,1.12,0,0,0
1269,2L3X2-1/2X1/4X3/4LLBB,9,2.64,3,0,0,0,0,0,2.32,2,1.11,0.94,4.26,2.71,1.48,1.27,0,0,0
1270,2L3X2-1/2X3/16LLBB,6.78,2,3,0,0,0,0,0,1.8,1.52,0.846,0.947,1.92,1.25,0.768,0.98,0,0,0
1271,2L3X2-1/2X3/16X3/8LLBB,6.78,2,3,0,0,0,0,0,1.8,1.52,0.846,0.947,2.46,1.63,0.915,1.11,0,0,0
1272,2L3X2-1/2X3/16X3/4LLBB,6.78,2,3,0,0,0,0,0,1.8,1.52,0.846,0.947,3.13,2,1.09,1.25,0,0,0
1273,2L3X2X1/2LLBB,15.4,4.52,3,0,0,0,0,0,3.84,3.56,2,0.922,2.86,2.62,1.43,0.795,0,0,0
1274,2L3X2X1/2X3/8LLBB,15.4,4.52,3,0,0,0,0,0,3.84,3.56,2,0.922,3.99,3.47,1.82,0.94,0,0,0
1275,2L3X2X1/2X3/4LLBB,15.4,4.52,3,0,0,0,0,0,3.84,3.56,2,0.922,5.47,4.32,2.3,1.1,0,0,0
1276,2L3X2X3/8LLBB,11.8,3.5,3,0,0,0,0,0,3.08,2.78,1.56,0.937,2.08,1.87,1.04,0.771,0,0,0
1277,2L3X2X3/8X3/8LLBB,11.8,3.5,3,0,0,0,0,0,3.08,2.78,1.56,0.937,2.9,2.53,1.33,0.911,0,0,0
1278,2L3X2X3/8X3/4LLBB,11.8,3.5,3,0,0,0,0,0,3.08,2.78,1.56,0.937,4.01,3.18,1.69,1.07,0,0,0
1279,2L3X2X5/16LLBB,10,2.96,3,0,0,0,0,0,2.64,2.38,1.32,0.945,1.71,1.51,0.855,0.76,0,0,0
1280,2L3X2X5/16X3/8LLBB,10,2.96,3,0,0,0,0,0,2.64,2.38,1.32,0.945,2.38,2.07,1.09,0.897,0,0,0
1281,2L3X2X5/16X3/4LLBB,10,2.96,3,0,0,0,0,0,2.64,2.38,1.32,0.945,3.26,2.62,1.37,1.05,0,0,0
1282,2L3X2X1/4LLBB,8.2,2.4,3,0,0,0,0,0,2.18,1.94,1.08,0.953,1.35,1.17,0.675,0.749,0,0,0
1283,2L3X2X1/4X3/8LLBB,8.2,2.4,3,0,0,0,0,0,2.18,1.94,1.08,0.953,1.87,1.62,0.855,0.883,0,0,0
1284,2L3X2X1/4X3/4LLBB,8.2,2.4,3,0,0,0,0,0,2.18,1.94,1.08,0.953,2.55,2.07,1.07,1.03,0,0,0
1285,2L3X2X3/16LLBB,6.14,1.83,3,0,0,0,0,0,1.69,1.49,0.828,0.961,0.999,0.847,0.5,0.739,0,0,0
1286,2L3X2X3/16X3/8LLBB,6.14,1.83,3,0,0,0,0,0,1.69,1.49,0.828,0.961,1.38,1.19,0.631,0.869,0,0,0
1287,2L3X2X3/16X3/4LLBB,6.14,1.83,3,0,0,0,0,0,1.69,1.49,0.828,0.961,1.9,1.54,0.8,1.02,0,0,0
1288,2L2-1/2X2X3/8LLBB,10.6,3.1,2.5,0,0,0,0,0,1.83,1.96,1.09,0.766,2.06,1.79,1.03,0.815,0,0,0
1289,2L2-1/2X2X3/8X3/8LLBB,10.6,3.1,2.5,0,0,0,0,0,1.83,1.96,1.09,0.766,2.84,2.37,1.3,0.957,0,0,0
1290,2L2-1/2X2X3/8X3/4LLBB,10.6,3.1,2.5,0,0,0,0,0,1.83,1.96,1.09,0.766,3.82,2.95,1.61,1.11,0,0,0
1291,2L2-1/2X2X5/16LLBB,9,2.64,2.5,0,0,0,0,0,1.58,1.68,0.93,0.774,1.71,1.47,0.855,0.804,0,0,0
1292,2L2-1/2X2X5/16X3/8LLBB,9,2.64,2.5,0,0,0,0,0,1.58,1.68,0.93,0.774,2.35,1.96,1.07,0.943,0,0,0
1293,2L2-1/2X2X5/16X3/4LLBB,9,2.64,2.5,0,0,0,0,0,1.58,1.68,0.93,0.774,3.19,2.46,1.34,1.1,0,0,0
1294,2L2-1/2X2X1/4LLBB,7.24,2.14,2.5,0,0,0,0,0,1.31,1.38,0.762,0.782,1.35,1.14,0.675,0.794,0,0,0
1295,2L2-1/2X2X1/4X3/8LLBB,7.24,2.14,2.5,0,0,0,0,0,1.31,1.38,0.762,0.782,1.85,1.54,0.846,0.93,0,0,0
1296,2L2-1/2X2X1/4X3/4LLBB,7.24,2.14,2.5,0,0,0,0,0,1.31,1.38,0.762,0.782,2.5,1.94,1.05,1.08,0,0,0
1297,2L2-1/2X2X3/16LLBB,5.5,1.64,2.5,0,0,0,0,0,1.02,1.06,0.586,0.79,1.01,0.831,0.505,0.784,0,0,0
1298,2L2-1/2X2X3/16X3/8LLBB,5.5,1.64,2.5,0,0,0,0,0,1.02,1.06,0.586,0.79,1.38,1.14,0.631,0.916,0,0,0
1299,2L2-1/2X2X3/16X3/4LLBB,5.5,1.64,2.5,0,0,0,0,0,1.02,1.06,0.586,0.79,1.88,1.44,0.792,1.07,0,0,0
